Drift detected at event-time: 1748991
Drift detected at event-time: 1748991
Drift detected at event-time: 1748991
Drift detected at event-time: 1748989
Drift detected at event-time: 1748981
Drift detected at event-time: 1748991
Drift detected at event-time: 1748989
Drift detected at event-time: 1748981
Drift detected at event-time: 1748991
Drift detected at event-time: 1748989
Drift detected at event-time: 1748981
Drift detected at event-time: 1748991
Drift detected at event-time: 1748991
Drift detected at event-time: 1748991
Drift detected at event-time: 1748989
Drift detected at event-time: 1748981
Drift detected at event-time: 1748991
