0, 126294
1, 365563
2, 385783
3, 355413
4, 366849
5, 378730
6, 364386
7, 391832
8, 420980
9, 420980
10, 420980
11, 347255
12, 390730
13, 307208
14, 352074
15, 275363
16, 339254
17, 401496
18, 355434
19, 377654
20, 279658
21, 432331
22, 328531
23, 379725
24, 420980
25, 420980
26, 399423
27, 378712
28, 386496
29, 390483
30, 325100
31, 370835
32, 324449
33, 420980
34, 317750
35, 353094
36, 376964
37, 391543
38, 361169
39, 416097
40, 255880
41, 390245
42, 304547
43, 363185
44, 391813
45, 417985
46, 358458
47, 288910
48, 391965
49, 386792
50, 394658
51, 371309
52, 415168
53, 420980
54, 420980
55, 389680
56, 390845
57, 394971
58, 349247
59, 420980
60, 391209
61, 313238
62, 319994
63, 386836
64, 354005
65, 292698
66, 318008
67, 322961
68, 367177
69, 415988
70, 321029
71, 359550
72, 379581
73, 420980
74, 420980
75, 393003
76, 420980
77, 420980
78, 388379
79, 391733
80, 287421
81, 358565
82, 420980
83, 431486
84, 377841
85, 420980
86, 403585
87, 379637
88, 420980
89, 423531
90, 362026
91, 420980
92, 362814
93, 320821
94, 313267
95, 388391
96, 386187
97, 420980
98, 344887
99, 420980
100, 420980
