0, 21040
1, 42080
2, 36047
3, 40144
4, 30853
5, 38090
6, 38335
7, 32441
8, 31956
9, 38097
10, 33817
11, 42080
12, 38349
13, 34420
14, 36485
15, 40098
16, 37254
17, 42149
18, 32352
19, 28881
20, 42080
21, 42080
22, 38515
23, 34169
24, 38354
25, 38402
26, 36612
27, 40121
28, 34107
29, 37872
30, 32612
31, 37982
32, 29862
33, 38178
34, 38107
35, 35413
36, 33608
37, 33024
38, 38141
39, 34179
40, 34451
41, 42080
42, 42116
43, 36924
44, 36831
45, 42145
46, 38262
47, 33406
48, 42156
49, 38374
50, 31085
51, 37885
52, 42245
53, 21964
54, 32042
55, 31818
56, 42080
57, 25830
58, 38074
59, 36282
60, 32347
61, 36444
62, 36139
63, 37664
64, 42080
65, 38702
66, 29944
67, 37310
68, 42345
69, 25837
70, 24907
71, 27970
72, 24725
73, 34248
74, 38420
75, 27834
76, 39009
77, 35202
78, 28810
79, 36415
80, 36238
81, 42169
82, 33881
83, 33834
84, 28908
85, 32088
86, 38049
87, 38271
88, 29551
89, 29876
90, 38015
91, 34504
92, 30323
93, 38018
94, 42080
95, 42080
96, 27559
97, 34776
98, 42080
99, 38162
100, 34539
