0, 11084
1, 11057
2, 11090
3, 11064
4, 11083
5, 11125
6, 11253
7, 11096
8, 11089
9, 11090
10, 12099
11, 11110
12, 11064
13, 11128
14, 11113
15, 11052
16, 11051
17, 11081
18, 11096
19, 11080
20, 11053
21, 11073
22, 11049
23, 11045
24, 11057
25, 11085
26, 11069
27, 11057
28, 11078
29, 11069
30, 11060
31, 11086
32, 11092
33, 11112
34, 11061
35, 11123
36, 12075
37, 11055
38, 11097
39, 11073
40, 11093
41, 11068
42, 11060
43, 11109
44, 11103
45, 11103
46, 11076
47, 11065
48, 11044
49, 11064
50, 11104
51, 11082
52, 11081
53, 11148
54, 11076
55, 11108
56, 11067
57, 11111
58, 11097
59, 11075
60, 11116
61, 11119
62, 11077
63, 11076
64, 11084
65, 11033
66, 11053
67, 11100
68, 11060
69, 11052
70, 11097
71, 11081
72, 11079
73, 11088
74, 11066
75, 11177
76, 11041
77, 11105
78, 11110
79, 11043
80, 11073
81, 11084
82, 11085
83, 11059
84, 11104
85, 11088
86, 11096
87, 11069
88, 11068
89, 11081
90, 11062
91, 11067
92, 11052
93, 11036
94, 11077
95, 11054
96, 11059
97, 11073
98, 11047
99, 11102
100, 11104

